Player,Position,Team,PPR_Rank,ADP,Undervalued_By,Upside,Tier
Christian Watson,WR,GB,56,45,11,5 out of 5,ELITE
Emeka Egbuka,WR,TB,38,38,0,4 out of 5,FAIR
Terry McLaurin,WR,WAS,44,36,8,2 out of 5,STRONG
Jaylen Waddle,WR,DEN,35,22,13,2 out of 5,ELITE
Ladd McConkey,WR,LAC,34,22,12,2 out of 5,ELITE
Zay Flowers,WR,BAL,28,19,9,4 out of 5,STRONG
Garrett Wilson,WR,NYJ,29,19,10,4 out of 5,ELITE
Chris Olave,WR,NO,22,16,6,3 out of 5,STRONG
George Pickens,WR,DAL,18,13,5,2 out of 5,STRONG
Rashee Rice,WR,KC,19,13,6,2 out of 5,STRONG
DeVonta Smith,WR,PHI,23,12,11,4 out of 5,ELITE
Drake London,WR,ATL,11,5,6,3 out of 5,STRONG
A.J. Brown,WR,NE,12,3,9,2 out of 5,STRONG
Nico Collins,WR,HOU,13,Late,13,5 out of 5,ELITE
