Slot,Rank,Strategy_Name,Description,Value_Score,Strategy_Type,Round1_Pick,Round1_Pos,Round2_Pick,Round2_Pos,Round3_Pick,Round3_Pos,Round4_Pick,Round4_Pos,Round5_Pick,Round5_Pos,Round6_Pick,Round6_Pos,Round7_Pick,Round7_Pos,Round8_Pick,Round8_Pos,Round9_Pick,Round9_Pos,Round10_Pick,Round10_Pos,Round11_Pick,Round11_Pos,Round12_Pick,Round12_Pos,Round13_Pick,Round13_Pos,Round14_Pick,Round14_Pos,Round15_Pick,Round15_Pos,Round16_Pick,Round16_Pos,Is_Recommended
1,1,Best-Available,Pick best value within ADP range regardless of position,1578.8,Generic,Jahmyr Gibbs,RB,A.J. Brown,WR,Nico Collins,WR,Ladd McConkey,WR,Luther Burden III,WR,Rico Dowdle,RB,Parker Washington,WR,Sam LaPorta,TE,Jordan Addison,WR,Romeo Doubs,WR,Jacory Croskey-Merritt,RB,Jayden Higgins,WR,Kyler Murray,QB,Hunter Henry,TE,Jake Ferguson,TE,No player available,,True
1,2,WR-First (Combo),WR-First strategy optimized for slot 1,1554.8533333333337,RB/WR Combo,Puka Nacua,WR,A.J. Brown,WR,Kenneth Walker III,RB,D'Andre Swift,RB,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Romeo Doubs,WR,Jacory Croskey-Merritt,RB,Jayden Higgins,WR,Blake Corum,RB,Hunter Henry,TE,Tank Dell,WR,RB (unavailable),RB,True
1,3,RB-First (Combo),RB-First strategy optimized for slot 1,1547.0766666666666,RB/WR Combo,Jahmyr Gibbs,RB,Josh Jacobs,RB,Nico Collins,WR,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jayden Higgins,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
1,4,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1545.9166666666663,Generic,Jahmyr Gibbs,RB,Josh Jacobs,RB,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jayden Higgins,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
1,5,TE-Premium (Combo),TE-Premium strategy optimized for slot 1,1544.92,RB/WR Combo,Jahmyr Gibbs,RB,A.J. Brown,WR,Trey McBride,TE,Ladd McConkey,WR,D'Andre Swift,RB,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Hunter Henry,TE,RB (unavailable),RB,True
1,6,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1543.263333333333,Generic,Puka Nacua,WR,A.J. Brown,WR,Nico Collins,WR,D'Andre Swift,RB,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jayden Higgins,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
1,7,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1536.79,Generic,Puka Nacua,WR,Josh Jacobs,RB,Nico Collins,WR,Ladd McConkey,WR,D'Andre Swift,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Romeo Doubs,WR,Jacory Croskey-Merritt,RB,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Denzel Boston,WR,RB (unavailable),RB,False
1,8,Value-Play (Combo),Value-Play strategy optimized for slot 1,1533.63,RB/WR Combo,Puka Nacua,WR,Josh Jacobs,RB,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Romeo Doubs,WR,Jacory Croskey-Merritt,RB,Jayden Higgins,WR,Isaiah Likely,TE,Tyrone Tracy Jr.,RB,Tank Dell,WR,RB (unavailable),RB,False
1,9,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1531.9466666666667,Generic,Jahmyr Gibbs,RB,Trey McBride,TE,No player available,,Luther Burden III,WR,Alec Pierce,WR,Tyler Warren,TE,RJ Harvey,RB,Sam LaPorta,TE,Caleb Williams,QB,Rashid Shaheed,WR,Jared Goff,QB,No player available,,No player available,,No player available,,No player available,,No player available,,False
1,10,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1529.64,Generic,Jahmyr Gibbs,RB,A.J. Brown,WR,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
1,11,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 1,1529.64,RB/WR Combo,Jahmyr Gibbs,RB,A.J. Brown,WR,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
1,12,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1517.3,Generic,Jahmyr Gibbs,RB,A.J. Brown,WR,Nico Collins,WR,Ladd McConkey,WR,Colston Loveland,TE,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
2,1,Best-Available,Pick best value within ADP range regardless of position,1575.9166666666663,Generic,Jahmyr Gibbs,RB,Chris Olave,WR,Kenneth Walker III,RB,D'Andre Swift,RB,Luther Burden III,WR,Rico Dowdle,RB,Tony Pollard,RB,Travis Kelce,TE,Jayden Reed,WR,Romeo Doubs,WR,Tucker Kraft,TE,Jayden Higgins,WR,Blake Corum,RB,Hunter Henry,TE,Jake Ferguson,TE,No player available,,True
2,2,RB-First (Combo),RB-First strategy optimized for slot 2,1549.6433333333334,RB/WR Combo,Jahmyr Gibbs,RB,Josh Jacobs,RB,A.J. Brown,WR,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jayden Higgins,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
2,3,WR-First (Combo),WR-First strategy optimized for slot 2,1547.63,RB/WR Combo,Puka Nacua,WR,Chris Olave,WR,Kenneth Walker III,RB,D'Andre Swift,RB,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Romeo Doubs,WR,Jonathon Brooks,RB,Jayden Higgins,WR,Blake Corum,RB,Hunter Henry,TE,Tank Dell,WR,RB (unavailable),RB,True
2,4,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1546.9166666666663,Generic,Jahmyr Gibbs,RB,Josh Jacobs,RB,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jayden Higgins,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
