Slot,Rank,Strategy_Name,Pattern,Description,Round1_Pick,Round2_Pick,Round3_Pick,Round4_Pick,Round5_Pick,Avg_ADP,Value_Score,Strategy_Type,Is_Recommended
1,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
1,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
1,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
1,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
1,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
1,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
1,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
1,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
1,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
1,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
2,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
2,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
2,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
2,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
2,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
2,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
2,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
2,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
2,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
2,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
3,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
3,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
3,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
3,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
3,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
3,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
3,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
3,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
3,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
3,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
4,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
4,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
4,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
4,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
4,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
4,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
4,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
4,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
4,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
4,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
5,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
5,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
