Player,ADP_15rd,ADP_Combined,ADP_Avg_5way,Master_ADP,ADP_Std_Dev,Num_Sources,Rank,Position,Team,Final_ADP,Image_URL,Tier
Jahmyr Gibbs,1.0,1.0,1.24,1.08,0.1385640646055101,3,1,RB,DET,1.08,https://a.espncdn.com/media/players/nfl/2024/150/4695318.png,1
Bijan Robinson,3.0,2.0,1.86,2.286666666666666,0.621718049708494,3,2,RB,ATL,2.286666666666666,https://a.espncdn.com/media/players/nfl/2024/150/4694446.png,1
Puka Nacua,2.0,3.5,4.6,3.3666666666666667,1.305118130030126,3,3,WR,LAR,3.3666666666666667,https://a.espncdn.com/media/players/nfl/2024/150/4698411.png,1
Ja'Marr Chase,4.0,3.5,3.34,3.613333333333333,0.3442867022313429,3,4,WR,CIN,3.613333333333333,https://a.espncdn.com/media/players/nfl/2024/150/4694530.png,1
Christian McCaffrey,5.0,6.0,5.6,5.533333333333334,0.5033222956847166,3,5,RB,SF,5.533333333333334,https://a.espncdn.com/media/players/nfl/2024/150/2971987.png,2
Jaxon Smith-Njigba,6.0,5.0,6.24,5.746666666666667,0.6576726642740547,3,6,WR,SEA,5.746666666666667,https://a.espncdn.com/media/players/nfl/2024/150/4694480.png,1
Jonathan Taylor,7.0,7.5,6.220000000000001,6.906666666666666,0.6450839738618012,3,7,RB,IND,6.906666666666666,https://a.espncdn.com/media/players/nfl/2024/150/4242960.png,2
Amon-Ra St. Brown,8.0,7.5,9.22,8.24,0.8847598544237869,3,8,WR,DET,8.24,https://a.espncdn.com/media/players/nfl/2024/150/4694535.png,2
De'Von Achane,9.0,9.5,11.3,9.933333333333334,1.2096831541082709,3,9,RB,MIA,9.933333333333334,https://a.espncdn.com/media/players/nfl/2024/150/4698417.png,4
CeeDee Lamb,13.0,10.0,11.18,11.393333333333333,1.5113349507416722,3,10,WR,DAL,11.393333333333333,https://a.espncdn.com/media/players/nfl/2024/150/4694478.png,2
Ashton Jeanty,11.0,15.0,12.38,12.793333333333331,2.0317808280750493,3,11,RB,LV,12.793333333333331,https://a.espncdn.com/media/players/nfl/2024/150/4698430.png,3
James Cook,,16.5,10.28,13.39,4.398204178980326,2,12,,,13.39,https://a.espncdn.com/media/players/nfl/2024/150/0.png,2
Drake London,12.0,12.5,16.5,13.666666666666666,2.4664414311581235,3,13,WR,ATL,13.666666666666666,https://a.espncdn.com/media/players/nfl/2024/150/4694550.png,2
Derrick Henry,16.0,20.5,6.74,14.413333333333334,7.015877231917141,3,14,RB,BAL,14.413333333333334,https://a.espncdn.com/media/players/nfl/2024/150/3037155.png,4
Justin Jefferson,14.0,18.5,12.74,15.08,3.0280686914269297,3,15,WR,MIN,15.08,https://a.espncdn.com/media/players/nfl/2024/150/4428480.png,2
Saquon Barkley,17.0,15.0,14.06,15.353333333333332,1.5015103507246743,3,16,RB,PHI,15.353333333333332,https://a.espncdn.com/media/players/nfl/2024/150/3989124.png,3
Chase Brown,15.0,20.0,17.380000000000003,17.46,2.5009598157507447,3,17,RB,CIN,17.46,https://a.espncdn.com/media/players/nfl/2024/150/4698418.png,4
Omarion Hampton,23.0,16.5,17.119999999999997,18.87333333333333,3.587218049315282,3,18,RB,LAC,18.87333333333333,https://a.espncdn.com/media/players/nfl/2024/150/0.png,4
Jeremiyah Love,22.0,16.5,,19.25,3.8890872965260113,2,19,RB,ARI,19.25,https://a.espncdn.com/media/players/nfl/2024/150/0.png,4
James Cook III,20.0,,,20.0,,1,20,RB,BUF,20.0,https://a.espncdn.com/media/players/nfl/2024/150/0.png,3
Chris Olave,18.0,23.5,,20.75,3.8890872965260113,2,21,WR,NO,20.75,https://a.espncdn.com/media/players/nfl/2024/150/4694542.png,4
Rashee Rice,10.0,27.0,25.82,20.94,9.492670857034916,3,22,WR,KC,20.94,https://a.espncdn.com/media/players/nfl/2024/150/4698431.png,3
A.J. Brown,19.0,21.5,24.08,21.526666666666667,2.5401049847069976,3,23,WR,NE,21.526666666666667,https://a.espncdn.com/media/players/nfl/2024/150/4038492.png,3
Josh Jacobs,21.0,23.5,,22.25,1.7677669529663689,2,24,RB,GB,22.25,https://a.espncdn.com/media/players/nfl/2024/150/0.png,4
George Pickens,24.0,19.5,23.880000000000003,22.46,2.5641372818162456,3,25,WR,DAL,22.46,https://a.espncdn.com/media/players/nfl/2024/150/4694544.png,3
Nico Collins,26.0,18.5,24.78,23.093333333333334,4.024441990305406,3,26,WR,HOU,23.093333333333334,https://a.espncdn.com/media/players/nfl/2024/150/4694551.png,3
