Slot,Strategy_Rank,Pattern,Round1_Pick,Round2_Pick,Round3_Pick,Round4_Pick,Round5_Pick,Avg_ADP,Avg_Variance,Value_Score
1,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
1,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
1,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
1,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
1,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
2,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
2,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
2,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
2,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
2,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
3,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
3,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
3,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
3,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
3,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
4,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
4,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
